city,country,population,lat,lon,temperature,windspeed,winddirection,pm25,pm10,no2,o3
Pune,India,7525720,18.5213738,73.8545071,29.0,13.3,93.0,15.2,15.4,1.2,154.0
Santiago,Chile,6999460,-33.4377756,-70.6504502,15.4,5.2,236.0,16.6,17.3,25.4,9.0
Madrid,Spain,6810530,40.416782,-3.703507,7.1,4.1,52.0,23.7,34.6,48.5,0.0
Khartoum,Sudan,6754180,15.5038301,32.5738979,23.9,15.9,6.0,20.7,83.1,1.8,71.0
Toronto,Canada,6491290,43.6534817,-79.3839347,-9.3,12.6,268.0,1.9,2.1,8.4,74.0
Johannesburg,South Africa,6444580,-26.205,28.049722,19.5,15.5,347.0,12.9,13.1,8.1,94.0
Belo Horizonte,Brazil,6351680,-19.9227318,-43.9450948,20.4,2.6,56.0,7.8,7.8,12.8,32.0
Dalian,China,6347380,38.9130495,121.6098013,-2.0,9.4,360.0,14.4,14.8,31.3,43.0
Qingdao,China,6217970,36.0663249,120.3777659,3.4,9.4,4.0,10.2,12.0,11.1,68.0
Singapore,Singapore,6157270,1.2899175,103.8519072,30.0,0.5,225.0,17.1,17.6,26.1,121.0
Zhengzhou,China,6156140,34.7472531,113.619321,-0.9,10.5,49.0,28.6,30.7,27.9,36.0
Ji nan Shandong,China,6065850,36.6584401,116.9552149,0.3,9.4,50.0,23.2,25.8,25.4,35.0
Abidjan,Ivory Coast,6056880,5.320357,-4.016107,26.6,3.9,202.0,8.5,13.8,2.6,58.0
Addis Ababa,Ethiopia,5956680,9.0358287,38.7524127,19.9,16.5,110.0,8.3,13.8,0.5,105.0
Yangon,Myanmar,5813190,16.7967129,96.1609916,29.9,6.8,58.0,7.5,7.5,1.2,129.0
Alexandria,Egypt,5807050,31.1991806,29.8951716,19.1,13.8,317.0,7.3,15.4,7.1,74.0
Nairobi,Kenya,5766990,-1.3026148,36.828842,21.0,15.5,68.0,12.9,13.5,1.6,90.0
Barcelona,Spain,5733250,41.3825802,2.177073,8.5,6.1,310.0,32.8,40.6,59.4,8.0
Chittagong,Bangladesh,5653490,22.333778,91.8344348,24.2,9.7,318.0,4.6,4.7,1.2,122.0
Hanoi,Vietnam,5602200,21.0283334,105.854041,22.0,1.8,90.0,66.4,67.5,23.9,135.0
Saint Petersburg,Russia,5597340,59.938732,30.316229,-0.9,16.6,353.0,11.4,15.8,66.3,18.0
Guadalajara,Mexico,5578580,20.6720375,-103.338396,15.4,2.1,239.0,25.6,25.8,47.5,42.0
Ankara,Turkey,5550490,39.9207759,32.8540497,2.8,0.5,135.0,41.0,48.9,54.0,15.0
Fukuoka,Japan,5465920,33.5898988,130.4017509,9.7,18.2,52.0,2.7,2.9,9.3,66.0
Melbourne,Australia,5391890,-37.8142454,144.9631732,32.0,3.7,331.0,6.5,6.7,8.4,84.0
Monterrey,Mexico,5272360,25.6802019,-100.315258,15.6,6.6,279.0,16.1,16.3,39.9,29.0
Sydney,Australia,5248790,-33.8698439,151.2082848,20.1,7.6,85.0,3.9,5.4,10.6,51.0
Urumqi,China,5132170,43.8244074,87.6139038,-13.9,14.3,326.0,48.8,51.1,47.3,47.0
Changsha,China,5128270,28.2312227,112.9334574,12.1,19.9,340.0,97.1,97.3,27.0,67.0
Cape Town,South Africa,5063580,-33.9288301,18.4172197,16.1,30.3,344.0,9.7,12.2,3.3,57.0
Jiddah,Saudi Arabia,5021600,21.5504432,39.1742363,26.8,14.9,8.0,41.7,334.3,23.6,76.0
Brasilia,Brazil,4990930,-15.7939869,-47.8828,18.8,3.4,288.0,20.9,21.0,19.3,22.0
Kunming,China,4955680,25.0363006,102.7086139,16.3,20.6,264.0,10.2,10.9,2.0,121.0
Changchun,China,4891020,43.8844201,125.3180998,-9.7,7.9,204.0,16.4,17.1,25.5,36.0
Kabul,Afghanistan,4877020,34.5269503,69.1850584,13.6,5.5,79.0,6.6,12.0,3.0,96.0
Yaounde,Cameroon,4854260,3.8689867,11.5213344,23.9,4.1,135.0,19.6,28.8,1.5,67.0
Hefei,China,4830170,31.8665676,117.281428,11.6,14.5,83.0,21.5,22.9,26.5,59.0
Ningbo,China,4770300,29.8622194,121.6203873,12.9,11.9,35.0,11.3,14.8,10.6,86.0
Shantou,China,4737590,23.3563921,116.6775856,22.0,19.6,77.0,25.9,28.6,7.2,118.0
Kano,Nigeria,4645320,11.9939978,8.5219738,21.1,4.7,90.0,130.4,312.0,6.7,80.0
Tel Aviv,Israel,4568530,32.0852997,34.7818064,16.5,11.2,176.0,9.7,12.2,14.8,54.0
New Taipei,Taiwan,4563850,25.011997,121.4656619,20.5,12.6,53.0,26.3,31.3,27.6,75.0
Shijiazhuang,China,4534990,38.0429742,114.5088385,-1.5,6.0,73.0,24.9,26.7,40.8,27.0
Jaipur,India,4411110,26.9154576,75.8189817,27.8,4.5,256.0,8.4,8.5,1.3,143.0
Kozhikode,India,4387410,11.2450558,75.7754716,29.9,8.8,235.0,41.1,43.4,1.3,178.0
Nanning,China,4383600,22.8193063,108.3627211,21.1,6.4,142.0,33.1,33.6,7.3,114.0
Montreal,Canada,4377310,45.5031824,-73.5698065,-9.7,23.5,255.0,2.1,2.8,3.2,76.0
Rome,Italy,4347100,41.8933203,12.4829321,3.2,2.6,16.0,28.1,34.4,48.0,7.0
Douala,Cameroon,4346420,4.0429389,9.7062018,26.5,4.3,66.0,17.3,28.3,4.4,56.0
Recife,Brazil,4344050,-8.0584933,-34.8848193,24.0,1.8,349.0,9.7,14.7,1.2,46.0
Malappuram,India,4343910,11.0428925,76.0807838,31.5,1.3,146.0,28.2,29.9,1.0,150.0
Taiyuan Shanxi,China,4305290,37.922449,112.5402281,-5.3,4.5,104.0,24.4,24.9,29.8,48.0
Fortaleza,Brazil,4284450,-3.7304512,-38.5217989,25.4,7.5,107.0,7.4,12.0,0.7,38.0
Porto Alegre,Brazil,4268960,-30.0324999,-51.2303767,22.8,1.8,11.0,12.5,12.7,9.2,31.0
Kampala,Uganda,4265160,0.3177137,32.5813539,24.2,11.2,320.0,23.3,24.3,1.0,91.0
Ekurhuleni,South Africa,4262130,-26.3086541,28.1273954,19.6,15.4,344.0,14.0,14.1,5.9,113.0
Antananarivo,Madagascar,4228980,-18.9100122,47.5255809,22.5,17.3,111.0,2.4,2.5,0.7,54.0
Abuja,Nigeria,4209940,9.0643305,7.4892974,29.5,9.0,119.0,92.4,217.0,7.2,94.0
Changzhou,China,4180040,31.8122623,119.9691539,11.5,19.3,76.0,12.5,14.8,21.7,59.0
Medellin,Colombia,4172810,6.2697325,-75.6025597,22.0,3.2,63.0,22.8,22.9,27.0,24.0
Ibadan,Nigeria,4144130,7.3786064,3.8969928,25.2,5.0,201.0,23.9,49.8,4.6,91.0
Lucknow,India,4132670,26.8381,80.9346001,24.7,1.0,315.0,87.8,89.6,1.4,215.0
Nanchang,China,4104120,28.687547,115.8540042,13.9,12.0,16.0,40.5,41.1,24.9,56.0
Wenzhou,China,4093180,27.9963899,120.695345,17.1,11.3,73.0,13.6,16.1,11.9,89.0
Xiamen,China,4077760,24.4801069,118.0853479,21.1,19.2,52.0,28.1,29.3,22.0,84.0
Kumasi,Ghana,4036230,6.6985605,-1.6233086,25.1,3.3,193.0,16.7,22.9,3.1,62.0
Salvador,Brazil,4029910,-12.9822499,-38.4812772,25.5,9.4,23.0,8.1,10.1,4.7,38.0
Casablanca,Morocco,4012310,33.5945144,-7.6200284,12.6,8.8,168.0,11.3,14.4,20.4,38.0
Bekasi,Indonesia,3926050,-6.2349858,106.9945444,33.2,10.6,325.0,24.9,26.1,10.6,126.0
Faisalabad,Pakistan,3892830,31.4220558,73.0923253,21.8,3.3,276.0,71.2,71.9,12.8,182.0
Curitiba,Brazil,3889140,-25.4295963,-49.2712724,15.5,2.7,23.0,13.2,13.5,15.3,25.0
Los Angeles,United States,3874297,34.0536909,-118.242766,13.0,2.9,353.0,51.1,51.2,64.7,0.0
Port Harcourt,Nigeria,3793780,4.7676576,7.0188527,30.1,5.2,155.0,31.4,51.2,7.8,67.0
Guiyang,China,3736730,26.6499922,106.6246178,18.5,2.6,214.0,33.3,33.4,8.7,99.0
Thrissur,India,3719980,10.5270099,76.214621,32.9,15.0,69.0,33.2,34.5,0.9,145.0
Dakar,Senegal,3658640,14.693425,-17.447938,22.3,15.9,33.0,24.0,84.3,1.2,56.0
Santo Domingo,Dominican Republic,3648110,18.4713858,-69.8918436,20.3,6.3,329.0,16.3,17.6,29.6,19.0
Asuncion,Paraguay,3627220,-25.2800459,-57.6343814,23.1,4.7,86.0,7.9,8.1,3.1,37.0
Kochi,India,3604550,9.9679032,76.2444378,28.2,7.1,246.0,37.8,39.7,2.3,185.0
Berlin,Germany,3580190,52.5173885,13.3951309,3.8,4.4,235.0,19.6,24.2,38.5,2.0
Wuxi,China,3559030,31.5776626,120.2952752,11.4,14.6,70.0,15.7,18.2,31.6,53.0
Sanaa,Yemen,3527430,15.3538569,44.2058841,19.8,4.1,38.0,6.9,15.5,0.2,91.0
Ouagadougou,Burkina Faso,3520820,12.3681873,-1.5270944,22.5,3.1,69.0,44.9,239.3,3.1,64.0
Campinas,Brazil,3491580,-22.9056391,-47.059564,18.4,3.3,84.0,65.2,66.4,40.1,19.0
Busan,South Korea,3484430,35.1799528,129.0752365,6.1,10.7,50.0,6.0,8.0,14.7,65.0
Indore,India,3482830,22.7203616,75.8681996,26.8,8.2,75.0,15.1,15.3,0.3,136.0
Lusaka,Zambia,3470870,-15.4163395,28.2818414,21.5,21.6,66.0,4.0,4.4,0.2,54.0
Mashhad,Iran,3460660,36.2974945,59.6059232,13.1,5.4,356.0,20.9,31.3,30.7,54.0
Puebla,Mexico,3443290,19.0437196,-98.1981486,9.1,6.0,327.0,28.3,28.4,57.4,8.0
Lanzhou,China,3430880,36.0615192,103.8318849,-5.2,23.7,57.0,7.4,7.9,8.1,67.0
Kuwait City,Kuwait,3405000,29.3796532,47.9734174,16.5,5.7,325.0,48.4,62.9,37.3,55.0
Kanpur,India,3345370,26.4609135,80.3217588,23.8,5.4,312.0,69.8,71.0,2.1,197.0
Durban,South Africa,3301090,-29.861825,31.009909,33.3,9.8,352.0,11.2,15.4,1.7,73.0
Guayaquil,Ecuador,3244750,-2.2895167,-80.0983887,21.2,8.4,260.0,9.1,14.6,2.9,49.0
Guatemala City,Guatemala,3229740,14.6416142,-90.5132836,15.3,9.5,351.0,16.2,16.3,11.8,25.0
Depok,Indonesia,3218290,-6.40719,106.8158371,32.8,10.4,272.0,24.9,26.1,10.6,126.0
Pyongyang,North Korea,3209300,39.0167979,125.7473609,1.1,5.4,8.0,10.1,10.3,12.7,52.0
Bamako,Mali,3180340,12.649319,-8.000337,22.9,5.5,349.0,31.7,93.6,2.4,42.0
Nagpur,India,3170180,21.1498134,79.0820556,27.1,6.2,69.0,15.2,15.5,11.5,116.0
Milan,Italy,3167450,45.4641943,9.1896346,3.0,7.0,258.0,68.8,74.0,59.9,1.0
Handan,China,3159030,36.6107711,114.4857072,-1.7,12.6,31.0,21.6,23.3,22.6,43.0
Coimbatore,India,3158720,11.0018115,76.9628425,27.9,17.7,57.0,20.1,21.4,0.9,140.0
Mbuji-Mayi,DR Congo,3158340,-6.1258942,23.5998111,25.2,4.8,103.0,17.5,17.6,1.0,57.0
Athens,Greece,3155320,37.9755648,23.7348324,12.1,2.8,40.0,26.7,34.8,59.9,13.0
Izmir,Turkey,3152090,38.4192537,27.128469,11.6,2.3,162.0,21.5,25.8,38.3,26.0
Huaian,China,3152050,33.5978169,119.0196971,8.1,14.1,71.0,9.3,11.1,9.4,68.0
Surabaya,Indonesia,3137620,-7.2462836,112.7377674,31.6,12.3,339.0,31.7,33.3,11.4,158.0
Port-au-Prince,Haiti,3133080,18.547327,-72.3395928,26.4,8.0,95.0,42.8,44.1,18.4,33.0
Dubai,United Arab Emirates,3094640,25.2296341,55.289585,27.1,9.8,204.0,25.9,61.5,33.3,65.0
Zhongshan,China,3093870,22.5197073,113.3872302,23.1,12.2,109.0,36.2,36.9,35.0,107.0
Thiruvananthapuram,India,3072530,8.4882267,76.947551,31.5,9.5,217.0,48.2,50.8,2.0,185.0
Weifang,China,3064290,36.7071591,119.1557441,1.1,9.3,16.0,18.6,21.0,23.7,44.0
Lubumbashi,DR Congo,3061340,-11.6642316,27.4826264,20.5,7.4,219.0,2.7,2.7,0.4,55.0
Lisbon,Portugal,3028270,38.7077507,-9.1365919,13.4,6.3,167.0,7.5,10.2,23.6,38.0
Kiev,Ukraine,3018160,50.4500336,30.5241361,5.9,11.3,277.0,10.2,13.6,13.9,34.0
Caracas,Venezuela,3015110,10.5060934,-66.9146008,19.5,6.3,167.0,9.3,10.6,8.3,34.0
Algiers,Algeria,3004130,36.7729333,3.0588445,11.6,2.1,211.0,20.4,31.2,49.5,8.0
Pretoria,South Africa,2955410,-25.7459277,28.1879101,22.0,12.6,347.0,6.2,6.5,1.7,88.0
Shaoxing,China,2951330,29.9992425,120.576854,12.5,19.2,62.0,15.5,18.9,14.4,79.0
Shizuoka,Japan,2930170,34.9751974,138.3831697,10.2,4.4,145.0,5.1,5.5,11.1,71.0
Goiania,Brazil,2927080,-16.680882,-49.2532691,21.9,1.9,22.0,11.1,11.2,17.4,15.0
Cali,Colombia,2916790,3.4519988,-76.5325259,17.3,3.2,333.0,2.2,2.2,7.8,33.0
Yantai,China,2898490,37.461928,121.4425255,2.4,14.4,22.0,5.1,7.3,4.5,72.0
Huizhou,China,2890880,23.1125153,114.4127007,23.3,8.6,75.0,26.4,26.8,10.4,109.0
Zibo,China,2876180,36.8129564,118.0488401,0.8,8.2,67.0,28.6,31.3,36.1,28.0
Incheon,South Korea,2873700,37.456,126.7052,4.4,8.2,52.0,27.5,28.8,58.8,13.0
Mogadishu,Somalia,2846420,2.0349312,45.3419183,30.2,19.4,68.0,9.5,12.3,0.1,72.0
Manchester,United Kingdom,2832580,53.4794892,-2.2451148,8.6,5.8,292.0,5.4,7.2,23.7,37.0
Brazzaville,Republic of the Congo,2813480,-4.2694407,15.2712256,26.1,1.1,108.0,25.8,26.4,6.2,83.0
Damascus,Syria,2799960,33.5130695,36.3095814,9.9,5.4,82.0,9.4,12.0,8.6,38.0
Accra,Ghana,2788380,5.5571096,-0.2012376,26.8,2.3,288.0,10.9,16.9,6.6,61.0
Taipei,Taiwan,2779200,25.0375198,121.5636796,21.0,5.9,79.0,26.3,31.3,27.6,75.0
Bandung,Indonesia,2758100,-6.9218457,107.6070833,27.0,11.4,325.0,33.4,34.7,3.5,181.0
Luoyang,China,2725560,34.6196539,112.4477046,-0.3,4.8,27.0,29.0,30.2,29.2,42.0
Toluca de Lerdo,Mexico,2719520,19.292545,-99.6569007,7.8,6.3,211.0,31.9,32.0,35.8,38.0
Chicago,United States,2715336,41.8755616,-87.6244212,-8.6,8.6,338.0,23.6,23.9,53.3,24.0
Vancouver,Canada,2707920,49.2608724,-123.113952,7.2,2.5,90.0,17.2,19.1,63.3,9.0
Birmingham,United Kingdom,2704620,52.4796992,-1.9026911,9.4,12.6,149.0,6.0,8.0,13.7,37.0
Patna,India,2689540,25.6093239,85.1235252,23.7,3.7,101.0,115.3,125.3,0.5,221.0
Bhopal,India,2686290,23.2584857,77.401989,25.9,5.0,30.0,8.8,8.8,0.3,133.0
Tashkent,Uzbekistan,2665080,41.3123363,69.2787079,9.4,14.5,325.0,16.2,18.3,25.9,33.0
Sapporo,Japan,2653580,43.061936,141.3542924,-10.4,14.3,298.0,4.5,6.5,2.5,72.0
Tangerang,Indonesia,2626610,-6.1761924,106.6382161,31.5,9.8,264.0,32.7,33.5,17.8,130.0
Nantong,China,2613750,31.9827896,120.8904588,9.9,17.7,63.0,9.1,11.7,12.1,73.0
Brisbane,Australia,2568170,-27.4689623,153.0235009,25.1,11.2,86.0,5.9,8.6,4.2,47.0
Peshawar,Pakistan,2548930,34.0123846,71.5787458,19.5,3.8,107.0,26.7,27.7,12.9,133.0
Tunis,Tunisia,2545030,36.8002068,10.1857757,9.5,2.5,225.0,19.4,27.9,23.4,23.0
Gujranwala,Pakistan,2543540,32.1525312,74.1933745,21.5,4.3,265.0,57.0,57.9,5.1,187.0
Medan,Indonesia,2521590,3.5894617,98.6741623,28.4,10.2,10.0,16.9,18.1,2.4,128.0
Hohhot,China,2500940,40.8184528,111.6601939,-2.7,13.0,354.0,22.3,25.1,29.2,28.0
Baku,Azerbaijan,2496500,40.3755885,49.8328009,9.6,5.2,16.0,4.0,4.6,3.9,64.0
Rawalpindi,Pakistan,2486560,33.5915446,73.053721,18.9,11.5,290.0,25.0,27.7,20.7,136.0
Agra,India,2478340,27.1752554,78.0098161,22.8,3.4,328.0,51.8,52.2,6.3,213.0
Kannur,India,2465140,11.8763836,75.3737973,32.9,6.2,187.0,30.2,31.9,1.2,156.0
Belem,Brazil,2453800,-1.45056,-48.4682453,25.0,4.7,81.0,4.4,5.3,4.8,16.0
Liuzhou,China,2447620,24.3284746,109.4239676,18.9,4.8,77.0,95.5,95.9,38.8,52.0
Visakhapatnam,India,2440420,17.6935526,83.2921297,28.6,8.4,70.0,42.5,44.9,13.5,173.0
Aleppo,Syria,2438480,36.19924,37.1637253,11.5,10.8,360.0,12.2,15.2,2.8,53.0
Manaus,Brazil,2434640,-3.1316333,-59.9825041,28.6,2.5,90.0,4.9,5.3,3.1,18.0
Maracaibo,Venezuela,2432440,10.6498095,-71.6443596,25.2,7.4,14.0,4.1,4.9,2.0,39.0
Phnom Penh,Cambodia,2425800,11.568271,104.9224426,32.1,4.4,99.0,9.7,10.4,0.2,98.0
Baotou,China,2425700,40.6174777,109.944912,-5.4,25.6,309.0,11.6,16.4,4.6,61.0
Vadodara,India,2424920,22.2973142,73.1942567,30.7,10.4,70.0,20.3,20.5,2.2,156.0
Houston,United States,2412920,29.7589382,-95.3676974,12.4,6.5,84.0,17.6,21.4,33.6,40.0
Barranquilla,Colombia,2396400,10.9938599,-74.7926118,27.5,30.1,50.0,7.0,8.3,3.2,45.0
Beirut,Lebanon,2379330,33.8959203,35.47843,15.9,5.1,266.0,9.2,12.0,10.1,63.0
Xuzhou,China,2376040,34.2665258,117.1810431,3.3,16.8,43.0,29.7,31.0,36.2,19.0
Taoyuan,Taiwan,2356610,24.9929995,121.3010003,20.8,33.3,45.0,20.4,23.3,34.1,61.0
Nashik,India,2351140,20.0112475,73.7902364,27.2,13.0,114.0,13.2,13.4,2.0,153.0
Vijayawada,India,2350700,16.5115306,80.6160469,29.2,3.5,24.0,42.8,44.5,1.3,192.0
Sendai,Japan,2337590,38.2677554,140.8691498,0.3,12.0,311.0,6.0,9.3,2.6,72.0
Tijuana,Mexico,2333220,32.5317397,-117.019529,12.8,8.3,355.0,32.4,35.9,60.3,16.0
Esfahan,Iran,2327990,32.6707877,51.6650002,7.7,3.4,302.0,9.0,9.6,48.3,31.0
Putian,China,2315020,25.4557366,119.0029034,16.9,10.6,18.0,24.2,26.0,10.7,90.0
Amman,Jordan,2273240,31.9515694,35.9239625,11.6,13.8,263.0,9.4,13.9,8.0,52.0
Multan,Pakistan,2258380,30.197838,71.4719683,22.9,0.8,27.0,101.5,103.1,5.8,188.0
Wuhu Anhui,China,2257210,31.3536127,118.4277477,12.9,19.5,87.0,22.0,23.9,32.4,53.0
Kollam,India,2252170,8.8870533,76.5906696,28.4,10.9,304.0,45.3,47.5,1.6,180.0
Conakry,Guinea,2251590,9.5170602,-13.6998434,27.4,7.2,273.0,42.6,89.4,1.9,90.0
Grande Vitoria,Brazil,2220560,-3.1559361,-59.2794889,26.2,1.1,72.0,3.9,4.2,1.0,22.0
Mecca,Saudi Arabia,2218580,21.420847,39.826869,25.4,10.7,346.0,19.3,67.5,5.1,96.0
Yangzhou,China,2216800,32.3968554,119.4077658,10.4,17.7,77.0,10.7,12.7,12.8,66.0
Taizhou Zhejiang,China,2198540,28.6581723,121.4163876,14.9,14.7,36.0,8.8,12.1,3.3,93.0
Baoding,China,2190060,38.8579735,115.490696,-1.1,6.9,171.0,25.0,27.1,25.2,40.0
Naples,Italy,2182170,40.8358846,14.2487679,9.1,5.1,4.0,58.6,60.8,47.0,4.0
Daegu,South Korea,2181080,35.8713,128.6018,5.1,9.4,88.0,4.7,6.4,24.5,52.0
Perth,Australia,2169190,-31.9558967,115.8605784,28.0,19.7,201.0,5.6,5.8,1.0,70.0
Havana,Cuba,2156350,23.135305,-82.3589631,23.4,11.6,60.0,6.6,9.1,2.8,82.0
Rajkot,India,2150330,22.3053263,70.8028377,30.5,7.9,66.0,7.7,7.7,0.9,146.0
Bursa,Turkey,2142600,40.1825734,29.0675039,8.8,3.2,27.0,21.4,26.2,26.4,29.0
Brussels,Belgium,2141520,50.8465573,4.351697,10.2,14.8,188.0,16.7,20.9,29.6,17.0
Lome,Togo,2108740,6.130419,1.215829,27.1,4.1,255.0,8.1,15.0,1.8,63.0
Haikou,China,2095420,20.0462328,110.1956502,25.2,17.9,71.0,16.5,18.9,3.5,110.0
Daqing,China,2085470,46.5969028,125.1014811,-10.8,9.1,198.0,9.2,9.5,10.7,48.0
Lianyungang,China,2080810,34.5933134,119.2171662,6.3,14.0,55.0,10.6,12.7,6.2,72.0
Yancheng Jiangsu,China,2073240,33.4015327,120.1169222,8.4,16.7,76.0,7.2,9.6,4.7,76.0
Minsk,Belarus,2070930,53.9024716,27.5618225,7.3,14.4,288.0,4.6,5.5,8.6,38.0
Hyderabad,Pakistan,2058730,25.4075358,68.3613456,26.0,4.7,184.0,15.0,29.3,8.5,108.0
Hiroshima,Japan,2058190,34.3917241,132.4517589,6.4,9.0,29.0,2.9,3.6,5.0,71.0
Panama City,Panama,2054540,8.9714493,-79.5341802,24.5,11.2,310.0,5.3,7.0,5.6,55.0
Semarang,Indonesia,2052410,-6.9903988,110.4229104,29.4,10.3,331.0,15.1,16.4,2.3,135.0
Benin City,Nigeria,2044650,6.3330586,5.6221058,27.1,4.7,171.0,22.8,34.6,12.0,66.0
Almaty,Kazakhstan,2042040,43.2363924,76.9457275,3.0,5.0,30.0,42.4,46.8,28.7,87.0
Davao City,Philippines,2033990,7.0648306,125.6080623,31.0,5.2,74.0,5.0,6.2,2.6,64.0
Valencia,Venezuela,2030790,10.170026,-68.0003987,21.4,5.2,348.0,17.6,18.0,16.1,17.0
Ludhiana,India,2028680,30.9090157,75.851601,22.7,5.3,298.0,62.2,64.0,3.3,191.0
Rabat,Morocco,2020970,34.0218454,-6.8408929,9.6,5.4,127.0,8.5,10.5,10.0,39.0
Quito,Ecuador,2017260,-0.2201641,-78.5123274,10.9,1.3,124.0,9.9,10.0,11.1,22.0
Can Tho,Vietnam,2007500,10.0362046,105.7872656,31.8,12.6,92.0,11.6,13.2,2.4,100.0
Vienna,Austria,2005500,48.2083537,16.3725042,3.2,1.3,304.0,25.5,28.4,34.1,8.0
La Paz,Bolivia,1997370,-16.4955455,-68.1336229,2.8,8.9,14.0,2.8,2.8,8.5,22.0
Matola,Mozambique,1984660,-25.966917,32.466956,29.0,18.8,348.0,4.3,5.6,0.3,51.0
Zhuhai,China,1968620,22.273734,113.5721327,22.5,16.9,101.0,38.0,39.0,40.5,110.0
Quanzhou,China,1966630,24.8755492,118.6723605,19.5,19.1,46.0,25.6,28.3,10.6,93.0
Datong,China,1951440,40.0919817,113.2951122,-3.8,8.7,128.0,16.6,17.3,19.6,49.0
Raipur,India,1923440,21.2380912,81.6336993,26.2,0.8,27.0,32.9,33.5,23.7,130.0
Madurai,India,1911650,9.9261153,78.1140983,30.0,11.1,54.0,33.3,35.7,1.7,133.0
Sharjah,United Arab Emirates,1909930,25.3461498,55.4210633,27.1,9.8,204.0,22.8,62.2,18.9,89.0
Mosul,Iraq,1904140,36.3436941,43.0997156,11.4,15.8,90.0,14.6,22.5,14.7,51.0
Santa Cruz,Bolivia,1891230,-16.5284384,-64.3010213,23.5,12.0,311.0,4.5,4.5,0.5,17.0
Palembang,Indonesia,1887700,-2.9888243,104.7568507,29.4,4.3,360.0,10.2,10.3,2.1,84.0
Cixi,China,1885950,30.1730437,121.2623259,12.1,13.4,63.0,12.0,15.3,9.3,86.0
Adana,Turkey,1876820,36.9863599,35.3252861,14.3,4.0,360.0,9.2,11.4,13.5,39.0
Meerut,India,1874890,28.9963296,77.7061915,22.8,5.8,266.0,91.0,93.1,8.9,246.0
La Laguna,Mexico,1866580,20.443863,-97.4450587,20.1,1.1,180.0,18.3,21.1,17.9,36.0
Batam,Indonesia,1858910,1.1030815,104.0383696,28.3,4.4,261.0,17.8,18.3,33.0,108.0
Gaziantep,Turkey,1858710,37.0628317,37.3792617,8.3,12.6,24.0,10.6,12.7,8.6,52.0
Jiangmen,China,1826520,22.5816619,113.0761073,23.1,11.3,117.0,36.2,36.9,35.0,107.0
Varanasi,India,1826010,25.3356491,83.0076292,23.4,4.4,305.0,86.4,88.9,1.7,196.0
Kananga,DR Congo,1815750,-5.8951725,22.408589,25.4,3.5,66.0,13.4,13.6,1.0,56.0
Turin,Italy,1809850,45.0677551,7.6824892,2.6,4.8,193.0,56.4,65.8,54.4,4.0
Xiangyang,China,1801750,32.010998,112.1163785,0.9,17.0,347.0,12.4,12.6,28.2,26.0
Yichang,China,1800420,30.6941332,111.2803512,8.1,6.9,137.0,27.0,27.2,23.0,33.0
Warsaw,Poland,1800230,52.2319581,21.0067249,7.7,14.8,264.0,13.7,18.2,16.6,37.0
Yinchuan,China,1795680,38.4852037,106.2261926,-2.2,18.9,312.0,11.5,25.4,15.3,50.0
Monrovia,Liberia,1794650,6.328034,-10.797788,26.8,2.3,18.0,17.5,19.9,5.2,48.0
Montevideo,Uruguay,1788170,-34.9058916,-56.1913095,20.6,13.0,316.0,7.7,8.1,7.6,42.0
Hamburg,Germany,1787710,53.550341,10.000654,3.5,5.9,194.0,23.1,27.9,36.7,4.0
Lyon,France,1787230,45.7578137,4.8320114,6.4,1.8,169.0,11.9,17.9,29.9,33.0
Tiruppur,India,1783690,11.1017815,77.345192,28.5,11.6,68.0,29.4,31.2,1.2,155.0
Budapest,Hungary,1782240,47.4978789,19.0402383,5.3,2.2,270.0,26.3,27.8,31.5,17.0
Suqian,China,1779600,33.9644701,118.2696994,5.1,19.1,46.0,10.9,12.7,7.7,66.0
Srinagar,India,1777610,34.0747444,74.8204443,12.3,3.0,76.0,14.5,16.6,1.5,123.0
Jamshedpur,India,1767760,22.8015194,86.2029579,24.6,4.5,331.0,90.6,95.7,22.8,175.0
Aurangabad,India,1767330,19.877263,75.3390241,27.7,4.8,103.0,11.5,11.8,0.8,142.0
Onitsha,Nigeria,1767110,6.1461619,6.8019088,26.5,6.8,212.0,32.4,45.5,4.3,64.0
Shiraz,Iran,1763900,29.6060218,52.5378041,13.5,6.8,198.0,23.2,87.8,14.7,80.0
Qinhuangdao,China,1762820,39.9395724,119.5894129,-2.8,4.0,243.0,8.7,9.4,19.2,51.0
Bucharest,Romania,1758700,44.4361414,26.102684,5.1,2.6,254.0,62.5,64.8,48.4,6.0
Xining,China,1740860,36.617331,101.7761976,0.7,50.4,272.0,4.0,6.1,1.6,100.0
Hengyang,China,1739050,26.8971308,112.5666191,15.9,8.3,360.0,104.8,105.0,36.2,53.0
Anyang,China,1738620,36.1023552,114.33633,-1.2,13.9,17.0,23.0,24.7,28.0,34.0
Anshan,China,1738430,41.1075962,122.9902291,-7.2,6.3,31.0,49.2,50.5,57.6,7.0
Stockholm,Sweden,1737760,59.3251172,18.0710935,3.0,9.7,18.0,2.8,5.7,14.2,33.0
Makassar,Indonesia,1737390,-5.1342962,119.4124282,28.1,15.3,330.0,7.1,7.7,4.9,62.0
Ulaanbaatar,Mongolia,1724890,47.9184676,106.9177016,-21.5,3.3,167.0,37.5,39.5,18.6,58.0
N-Djamena,Chad,1722780,12.1191543,15.0502758,24.1,14.4,58.0,72.6,272.9,1.3,42.0
